id,hip,bayer,flam,con,proper,ra,dec,mag,full_letter,const_genitive,wikipedia
1138539,53257,,,UMa,,10.89186316,69.853878,5.91,#N/A,Ursae_Majoris,#N/A
971746,45461,,,UMa,,9.2646055,72.94632635,5.93,#N/A,Ursae_Majoris,#N/A
1192622,56148,,58,UMa,,11.5086476,43.17324388,5.94,#N/A,Ursae_Majoris,#N/A
1125279,52577,,,UMa,,10.75111944,67.41138435,5.95,#N/A,Ursae_Majoris,#N/A
1232584,58460,,,UMa,,11.9882047,33.16700226,5.95,#N/A,Ursae_Majoris,#N/A
974763,45590,,,UMa,,9.29199391,46.8172308,5.96,#N/A,Ursae_Majoris,#N/A
1013237,47401,,,UMa,,9.6577426,67.27223035,5.96,#N/A,Ursae_Majoris,#N/A
1044064,48802,,,UMa,,9.9537806,57.41819737,5.97,#N/A,Ursae_Majoris,#N/A
1380162,67485,,,UMa,,13.82930772,61.48930662,5.97,#N/A,Ursae_Majoris,#N/A
1147897,53726,,,UMa,,10.99244124,36.09310643,5.99,#N/A,Ursae_Majoris,#N/A
860038,40889,,,UMa,,8.3445334,72.40723211,6,#N/A,Ursae_Majoris,#N/A
1082494,50546,,,UMa,,10.32410796,48.3967644,6,#N/A,Ursae_Majoris,#N/A
1096317,51200,,,UMa,,10.45778876,41.60103876,6,#N/A,Ursae_Majoris,#N/A
